name,src,status,sec,quads,tris,ngons,verts,faces,note
filletslot,tests/fixtures/filletslot.step,ok,0.05,28,0,2,56,,
slitdrill,tests/fixtures/slitdrill.step,exit1,0.05,62,0,5,127,,16  revolution-grid   structure: faces=16 structured=16 planned-floor=0 failed-floor=0 raw=0 empty=0 retention=1.0000   density-matched edges: 43: #1=1 #2=1 #3=1 #4=1 #5=18 #6=1 #7=1 #8=1 #9=1 #10=1 #11=1 #12=1 #13=16 #1
canrev,tests/fixtures/canrev.step,exit1,2.29,0,65536,3,32904,," 1 polygons, 65536 slivers (< 5.0 deg)   chord deviation: max 0.0685085, mean 0.0585691 (64512 polygons sampled)   face #1   contract-floor   face #2   minimal-ngon   face #3   minimal-ngon   face #4   contract-floor   f"
hairline,tests/fixtures/hairline.step,ok,0.04,113,0,2,134,,
microedge,tests/fixtures/microedge.step,ok,0.04,5,0,2,10,,
demo,tests/fixtures/demo.step,exit1,1.40,319,63488,14,32440,,1 #53=5 #54=1 #55=1 #56=18 #57=18 #58=5 #59=7 #60=32 #61=5 #62=1 #63=1 #64=1 #65=1 #66=18 #67=1 #68=1 #69=1 #70=1 #71=18 #72=1 #73=1 #74=18 #75=18 #76=1 #77=13 #78=1 #79=13 #80=1 #81=18 #82=1 #83=18 #84=1 #85=4 #86=1 #87
angle1,tests/STEP_Examples/angle1.stp,exit1,0.06,89,0,6,186,,5  minimal-ngon   structure: faces=15 structured=15 planned-floor=0 failed-floor=0 raw=0 empty=0 retention=1.0000   density-matched edges: 43: #1=18 #2=1 #3=18 #4=18 #5=1 #6=1 #7=1 #8=1 #9=1 #10=1 #11=1 #12=1 #13=1 #14=1
4pinplug,tests/STEP_Examples/4pinplug.stp,exit1,0.08,295,0,15,524,,#36=1 #37=1 #38=4 #39=4 #40=1 #41=1 #42=1 #43=1 #44=2 #45=2 #46=1 #47=1 #48=1 #49=1 #50=4 #51=4 #52=1 #53=1 #54=1 #55=1 #56=1 #57=1 #58=1 #59=1 #60=1 #61=18 #62=18 #63=1 #64=18 #65=1 #66=18 #67=18 #68=1 #69=18 #70=1 #71=
as1_pe,tests/STEP_Examples/as1_pe.stp,exit1,0.17,1718,0,38,2668,, #106=1 #107=56 #108=1 #109=1 #110=1 #111=56 #112=56 #113=1 #114=1 #115=1 #116=56 #117=1 #118=1 #119=1 #120=56 #121=1 #122=1 #123=1 #124=56 #125=1 #126=56 #127=69 #128=1 #129=69 #130=56 #131=1 #132=56 #133=69 #134=1 #135
Holes,tests/STEP_Examples/Holes.stp,exit1,0.77,1496,65577,5,35278,,2=1 #33=1 #34=1 #35=10 #36=1 #37=1 #38=1 #39=22 #40=39 #41=32 #42=25 #43=34 #44=25 #45=20 #46=34 #47=47 #48=25 #49=47 #50=47 #51=34 #52=34 #53=25 #54=34 #55=25 #56=34 #57=47 #58=47 #59=47 #60=34 #61=47 #62=13 #63=1 #64=1
iso14649-demo,tests/STEP_Examples/iso14649-demo.stp,exit1,0.29,4663,0,31,7515,,=1 #295=89 #296=1 #297=1 #298=56 #299=1 #300=56 #301=1 #302=89 #303=69 #304=1 #305=69 #306=1 #307=1 #308=1 #309=1 #310=16 #311=20 #312=1 #313=20 #314=21 #315=13 #316=20 #317=1 #318=20 #319=25 #320=1 #321=1 #322=1 #323=25
mohne,tests/STEP_Examples/mohne.stp,exit1,0.34,1128,2,50,2406,,468=5 #469=5 #470=1 #471=1 #472=1 #473=1 #474=1 #475=1 #476=1 #477=18 #478=18 #479=18 #480=9 #481=1 #482=9 #483=18 #484=1 #485=18 #486=1 #487=19 #488=1 #489=9 #490=1 #491=10 #492=19 #493=1 #494=1 #495=18 #496=18 #497=18 
