ASSEMBLY open=0 nm=0 folds_ui=0 wt=1
ASSEMBLY foldedPolys=0 structured=0/3052 floor=0
ASSEMBLY failedFloor=0 raw=0
OBJ001 faces=130 polys=1367 q=1189 t=101 n=77 folds=0 floor=0 raw=0 min=47 coons=64 rev=9 PASS 
OBJ002 faces=159 polys=599 q=487 t=16 n=96 folds=0 floor=0 raw=0 min=57 coons=70 rev=3 PASS 
OBJ003 faces=10 polys=220 q=212 t=4 n=4 folds=0 floor=0 raw=0 min=0 coons=0 rev=8 PASS 
OBJ004 faces=61 polys=130 q=100 t=2 n=28 folds=0 floor=0 raw=0 min=41 coons=17 rev=2 PASS 
OBJ005 faces=33 polys=421 q=333 t=4 n=84 folds=0 floor=0 raw=0 min=5 coons=12 rev=9 PASS 
OBJ006 faces=12 polys=42 q=26 t=2 n=14 folds=0 floor=0 raw=0 min=8 coons=0 rev=3 PASS 
OBJ007 faces=12 polys=42 q=26 t=2 n=14 folds=0 floor=0 raw=0 min=8 coons=0 rev=3 PASS 
OBJ008 faces=304 polys=1066 q=801 t=61 n=204 folds=0 floor=0 raw=0 min=241 coons=56 rev=4 PASS 
OBJ009 faces=868 polys=3541 q=2955 t=158 n=428 folds=0 floor=0 raw=0 min=347 coons=484 rev=20 PASS 
OBJ010 faces=12 polys=22 q=18 t=0 n=4 folds=0 floor=0 raw=0 min=3 coons=5 rev=3 PASS 
OBJ011 faces=40 polys=90 q=78 t=0 n=12 folds=0 floor=0 raw=0 min=25 coons=12 rev=2 PASS 
OBJ012 faces=111 polys=424 q=345 t=12 n=67 folds=0 floor=0 raw=0 min=46 coons=57 rev=8 PASS 
OBJ013 faces=7 polys=35 q=33 t=0 n=2 folds=0 floor=0 raw=0 min=3 coons=4 rev=0 PASS 
OBJ014 faces=13 polys=454 q=425 t=0 n=29 folds=0 floor=0 raw=0 min=1 coons=3 rev=5 PASS 
OBJ015 faces=3 polys=8 q=6 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=1 PASS 
OBJ016 faces=8 polys=19 q=16 t=0 n=3 folds=0 floor=0 raw=0 min=3 coons=5 rev=0 PASS 
OBJ017 faces=4 polys=14 q=12 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=2 PASS 
OBJ018 faces=39 polys=120 q=95 t=12 n=13 folds=0 floor=0 raw=0 min=12 coons=20 rev=6 PASS 
OBJ019 faces=3 polys=3 q=0 t=0 n=3 folds=0 floor=0 raw=0 min=3 coons=0 rev=0 WARN collapsed 
OBJ020 faces=15 polys=52 q=42 t=0 n=10 folds=0 floor=0 raw=0 min=10 coons=4 rev=1 PASS 
OBJ021 faces=4 polys=24 q=24 t=0 n=0 folds=0 floor=0 raw=0 min=0 coons=0 rev=2 PASS 
OBJ022 faces=137 polys=630 q=447 t=43 n=140 folds=0 floor=0 raw=0 min=76 coons=31 rev=25 PASS 
OBJ023 faces=32 polys=59 q=45 t=0 n=14 folds=0 floor=0 raw=0 min=26 coons=2 rev=1 PASS 
OBJ024 faces=33 polys=361 q=245 t=40 n=76 folds=0 floor=0 raw=0 min=22 coons=3 rev=6 PASS 
OBJ025 faces=4 polys=14 q=12 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=2 PASS 
OBJ026 faces=7 polys=32 q=30 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=3 PASS 
OBJ027 faces=2 polys=2 q=2 t=0 n=0 folds=0 floor=0 raw=0 min=2 coons=0 rev=0 PASS 
OBJ028 faces=19 polys=91 q=80 t=0 n=11 folds=0 floor=0 raw=0 min=7 coons=10 rev=1 PASS 
OBJ029 faces=3 polys=226 q=224 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=1 rev=0 PASS 
OBJ030 faces=20 polys=39 q=28 t=0 n=11 folds=0 floor=0 raw=0 min=16 coons=3 rev=1 PASS 
OBJ031 faces=20 polys=39 q=28 t=0 n=11 folds=0 floor=0 raw=0 min=16 coons=3 rev=1 PASS 
OBJ032 faces=222 polys=854 q=643 t=59 n=152 folds=0 floor=0 raw=0 min=126 coons=72 rev=16 PASS 
OBJ033 faces=37 polys=132 q=106 t=0 n=26 folds=0 floor=0 raw=0 min=27 coons=6 rev=2 PASS 
OBJ034 faces=5 polys=33 q=22 t=9 n=2 folds=0 floor=0 raw=0 min=1 coons=0 rev=2 PASS 
OBJ035 faces=98 polys=150 q=95 t=13 n=42 folds=0 floor=0 raw=0 min=93 coons=3 rev=2 PASS 
OBJ036 faces=14 polys=22 q=20 t=0 n=2 folds=0 floor=0 raw=0 min=6 coons=8 rev=0 PASS 
OBJ037 faces=26 polys=60 q=41 t=9 n=10 folds=0 floor=0 raw=0 min=15 coons=11 rev=0 WARN high-tri 
OBJ038 faces=3 polys=11 q=9 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=1 rev=0 PASS 
OBJ039 faces=19 polys=113 q=100 t=0 n=13 folds=0 floor=0 raw=0 min=8 coons=10 rev=0 PASS 
OBJ040 faces=21 polys=53 q=43 t=0 n=10 folds=0 floor=0 raw=0 min=11 coons=4 rev=4 PASS 
OBJ041 faces=10 polys=22 q=12 t=8 n=2 folds=0 floor=0 raw=0 min=8 coons=0 rev=1 PASS 
OBJ042 faces=10 polys=22 q=12 t=8 n=2 folds=0 floor=0 raw=0 min=8 coons=0 rev=1 PASS 
OBJ043 faces=16 polys=44 q=34 t=6 n=4 folds=0 floor=0 raw=0 min=4 coons=10 rev=0 PASS 
OBJ044 faces=12 polys=22 q=16 t=2 n=4 folds=0 floor=0 raw=0 min=3 coons=5 rev=3 PASS 
OBJ045 faces=4 polys=29 q=24 t=2 n=3 folds=0 floor=0 raw=0 min=1 coons=0 rev=1 PASS 
OBJ046 faces=4 polys=29 q=24 t=2 n=3 folds=0 floor=0 raw=0 min=1 coons=0 rev=1 PASS 
OBJ047 faces=4 polys=16 q=14 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=2 PASS 
OBJ048 faces=8 polys=19 q=16 t=0 n=3 folds=0 floor=0 raw=0 min=3 coons=5 rev=0 PASS 
OBJ049 faces=39 polys=120 q=95 t=12 n=13 folds=0 floor=0 raw=0 min=12 coons=20 rev=6 PASS 
OBJ050 faces=68 polys=244 q=207 t=0 n=37 folds=0 floor=0 raw=0 min=27 coons=26 rev=6 PASS 
OBJ051 faces=4 polys=14 q=12 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=2 PASS 
OBJ052 faces=6 polys=74 q=72 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=4 PASS 
OBJ053 faces=23 polys=88 q=76 t=0 n=12 folds=0 floor=0 raw=0 min=14 coons=9 rev=0 PASS 
OBJ054 faces=6 polys=48 q=34 t=0 n=14 folds=0 floor=0 raw=0 min=0 coons=0 rev=3 PASS 
