kind	id	family	support	strategy	trim	conditions
curve	119	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	122	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	129	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	384	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	402	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	439	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	448	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	453	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	461	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	466	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	467	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1047	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1081	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1083	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1084	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1086	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1087	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1103	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1104	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1106	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1107	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1125	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1126	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1128	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1129	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1130	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1235	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1255	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1256	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1260	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1261	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1266	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1267	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1291	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1292	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1293	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1294	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1295	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1297	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1298	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1299	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1300	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1302	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1303	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1304	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1321	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1323	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1324	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1325	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1326	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1327	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1328	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1329	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1332	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1333	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1336	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1337	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1338	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1340	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1341	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1342	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	1343	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
